2649,68,7
2630,68,9
2689,68,8
2694,68,4
2651,68,5
2733,69,1
2651,69,2
2689,69,8
2708,69,6
2651,69,5
2629,69,3
2649,69,7
2630,69,9
2694,69,4
2604,70,3
2664,70,8
2708,70,1
2623,70,7
2708,70,6
2584,70,9
2605,70,5
2660,70,2
2669,70,4
2521,71,2
2555,71,9
2597,71,1
2553,71,7
2597,71,6
2551,71,5
2553,71,8
2553,71,3
2551,71,4
2415,72,2
2369,72,9
2426,72,1
2386,72,8
2451,72,6
2369,72,7
2390,72,5
2386,72,3
2415,72,4
2589,73,8
2633,73,2
2673,73,1
2612,73,5
2591,73,9
2609,73,7
2673,73,3
2673,73,6
2633,73,4
2610,74,5
2633,74,2
2554,74,1
2653,74,7
2717,74,6
2589,74,9
2673,74,3
2631,74,4
2567,74,8
2692,75,1
2523,75,8
2656,75,5
2635,75,9
2631,75,2
2646,75,6
2563,75,7
2677,75,4
2627,75,3
2631,76,2
2607,76,7
2606,76,9
2937,76,6
2610,76,5
2692,76,1
2583,76,8
2627,76,3
2631,76,4
2643,77,5
2650,77,9
2668,77,7
2650,77,2
2991,77,1
2628,77,8
2648,77,3
2633,77,4
3016,77,6
2629,78,5
2541,78,9
2974,78,1
2605,78,7
2562,78,2
2629,78,8
2585,78,3
2587,78,4
2974,78,6
2506,79,9
2820,79,1
2571,79,4
2613,79,5
2589,79,7
2629,79,8
2543,79,3
2933,79,6
2571,79,2
2958,80,1
2550,80,9
2573,80,7
2571,80,2
2912,80,6
2613,80,5
2629,80,8
2571,80,4
2589,80,3
2513,81,1
2467,81,9
2489,81,7
2467,81,2
2467,81,5
2469,81,8
2467,81,6
2467,81,4
2469,81,3
2305,82,2
2381,82,8
2764,82,1
2345,82,7
2318,82,9
2305,82,4
2348,82,5
2321,82,3
2672,82,6
2591,83,3
2651,83,7
2960,83,6
2619,83,5
2591,83,8
2552,83,4
2960,83,1
2552,83,9
2510,83,2
2600,84,7
2582,84,6
2501,84,9
2536,84,8
2585,84,5
2568,84,2
2610,84,4
2540,84,3
2909,84,1
2515,85,9
2614,85,7
2580,85,8
2949,85,1
2601,85,5
2686,85,6
2624,85,4
2536,85,2
2600,85,3
2618,86,1
2616,86,7
2598,86,6
2561,86,9
2580,86,8
2600,86,3
2645,86,5
2582,86,2
2624,86,4
2618,87,1
2580,87,4
